nl_query,sql_query,scenario,difficulty,source,schema_tables,schema_columns
"Which Score has Points smaller than 67, and a Home of calgary flames?",SELECT Score FROM TABLE WHERE Points < 67 AND Home = calgary flames,filters,easy,wikisql,table,Date|Visitor|Score|Home|Decision|Attendance|Record|Points
How many airports do we have?,SELECT COUNT(*) FROM AIRPORTS,aggregations,medium,spider,airlines|airports|flights,uid|Airline|Abbreviation|Country|City|AirportCode|AirportName|Country|CountryAbbrev|Airline|FlightNo|SourceAirport|DestAirport
How many distinct claim outcome codes are there?,SELECT COUNT(DISTINCT claim_outcome_code) FROM claims_processing,aggregations,medium,spider,Customers|Staff|Policies|Claim_Headers|Claims_Documents|Claims_Processing_Stages|Claims_Processing,Customer_ID|Customer_Details|Staff_ID|Staff_Details|Policy_ID|Customer_ID|Policy_Type_Code|Start_Date|End_Date|Claim_Header_ID|Claim_Status_Code|Claim_Type_Code|Policy_ID|Date_of_Claim|Date_of_Settlement|Amount_Claimed|Amount_Piad|Claim_ID|Document_Type_Code|Created_by_Staff_ID|Created_Date|Claim_Stage_ID|Next_Claim_Stage_ID|Claim_Status_Name|Claim_Status_Description|Claim_Processing_ID|Claim_ID|Claim_Outcome_Code|Claim_Stage_ID|Staff_ID
What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(capacity), average FROM stadium",aggregations,medium,spider,stadium|singer|concert|singer_in_concert,Stadium_ID|Location|Name|Capacity|Highest|Lowest|Average|Singer_ID|Name|Country|Song_Name|Song_release_year|Age|Is_male|concert_ID|concert_Name|Theme|Stadium_ID|Year|concert_ID|Singer_ID
"What is the number of airports per country, ordered from most to least?","SELECT COUNT(*) , country FROM airports GROUP BY country ORDER BY COUNT(*) DESC",aggregations,medium,spider,routes|airports|airlines,rid|dst_apid|dst_ap|src_apid|src_ap|alid|airline|codeshare|apid|name|city|country|x|y|elevation|iata|icao|alid|name|iata|icao|callsign|country|active
What are the classes of races that have two or more corresponding races?,SELECT CLASS FROM race GROUP BY CLASS HAVING COUNT(*) >= 2,aggregations,hard,spider,race|track,Race_ID|Name|Class|Date|Track_ID|Track_ID|Name|Location|Seating|Year_Opened
Count the number of different film ratings.,SELECT COUNT(DISTINCT rating) FROM film,aggregations,medium,spider,actor|address|category|city|country|customer|film|film_actor|film_category|film_text|inventory|language|payment|rental|staff|store,actor_id|first_name|last_name|last_update|address_id|address|address2|district|city_id|postal_code|phone|last_update|category_id|name|last_update|city_id|city|country_id|last_update|country_id|country|last_update|customer_id|store_id|first_name|last_name|email|address_id|active|create_date|last_update|film_id|title|description|release_year|language_id|original_language_id|rental_duration|rental_rate|length|replacement_cost|rating|special_features|last_update|actor_id|film_id|last_update|film_id|category_id|last_update|film_id|title|description|inventory_id|film_id|store_id|last_update|language_id|name|last_update|payment_id|customer_id|staff_id|rental_id|amount|payment_date|last_update|rental_id|rental_date|inventory_id|customer_id|return_date|staff_id|last_update|staff_id|first_name|last_name|address_id|picture|email|store_id|active|username|password|last_update|store_id|manager_staff_id|address_id|last_update
Count the number of customers who are active.,SELECT COUNT(*) FROM customer WHERE active = '1',aggregations,medium,spider,actor|address|category|city|country|customer|film|film_actor|film_category|film_text|inventory|language|payment|rental|staff|store,actor_id|first_name|last_name|last_update|address_id|address|address2|district|city_id|postal_code|phone|last_update|category_id|name|last_update|city_id|city|country_id|last_update|country_id|country|last_update|customer_id|store_id|first_name|last_name|email|address_id|active|create_date|last_update|film_id|title|description|release_year|language_id|original_language_id|rental_duration|rental_rate|length|replacement_cost|rating|special_features|last_update|actor_id|film_id|last_update|film_id|category_id|last_update|film_id|title|description|inventory_id|film_id|store_id|last_update|language_id|name|last_update|payment_id|customer_id|staff_id|rental_id|amount|payment_date|last_update|rental_id|rental_date|inventory_id|customer_id|return_date|staff_id|last_update|staff_id|first_name|last_name|address_id|picture|email|store_id|active|username|password|last_update|store_id|manager_staff_id|address_id|last_update
Which kind of policy type was chosen by the most customers?,SELECT Policy_Type_Code FROM Customer_Policies GROUP BY Policy_Type_Code ORDER BY COUNT(*) DESC LIMIT 1,aggregations,medium,spider,Customers|Customer_Policies|Claims|Settlements|Payments,Customer_ID|Customer_Details|Policy_ID|Customer_ID|Policy_Type_Code|Start_Date|End_Date|Claim_ID|Policy_ID|Date_Claim_Made|Date_Claim_Settled|Amount_Claimed|Amount_Settled|Settlement_ID|Claim_ID|Date_Claim_Made|Date_Claim_Settled|Amount_Claimed|Amount_Settled|Customer_Policy_ID|Payment_ID|Settlement_ID|Payment_Method_Code|Date_Payment_Made|Amount_Payment
Count the number of captains that have each rank.,"SELECT COUNT(*) , rank FROM captain GROUP BY rank",aggregations,medium,spider,captain|Ship,Captain_ID|Name|Ship_ID|age|Class|Rank|Ship_ID|Name|Type|Built_Year|Class|Flag
What is the p max ( bar ) for the 6876 f bolt ( kgf )?,SELECT MIN P MAX ( bar ) FROM TABLE WHERE F bolt ( kgf ) = 6876,aggregations,medium,wikisql,table,Chambering|P1 diameter (mm)|A external (cm 2 )|P max ( bar )|F bolt ( kgf )|F bolt
"What is the Pine Rivers total population after 1947 with a Redcliffe population smaller than 68,877, a total population greater than 50,785, and a Caboolture population greater than 12,207?","SELECT COUNT (Pine Rivers) FROM TABLE WHERE Year > 1947 AND (Redcliffe) < 68,877 AND Population (Total) > 50,785 AND (Caboolture) > 12,207",aggregations,medium,wikisql,table,Year|Population (Total)|(Caboolture)|(Pine Rivers)|(Redcliffe)
What is the birth date of the poker player with the lowest earnings?,SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1,joins,hard,spider,poker_player|people,Poker_Player_ID|People_ID|Final_Table_Made|Best_Finish|Money_Rank|Earnings|People_ID|Nationality|Name|Birth_Date|Height
Find the names of the trains that do not pass any station located in London.,SELECT T2.name FROM train_station AS T1 JOIN train AS T2 ON T1.train_id = T2.train_id WHERE T1.station_id NOT IN (SELECT T4.station_id FROM train_station AS T3 JOIN station AS T4 ON T3.station_id = T4.station_id WHERE t4.location = 'London'),joins,hard,spider,station|train|train_station,Station_ID|Name|Annual_entry_exit|Annual_interchanges|Total_Passengers|Location|Main_Services|Number_of_Platforms|Train_ID|Name|Time|Service|Train_ID|Station_ID
"Find the id, forename and number of races of all drivers who have at least participated in two races?","SELECT T1.driverid , T1.forename , COUNT(*) FROM drivers AS T1 JOIN results AS T2 ON T1.driverid = T2.driverid JOIN races AS T3 ON T2.raceid = T3.raceid GROUP BY T1.driverid HAVING COUNT(*) >= 2",joins,hard,spider,circuits|races|drivers|status|seasons|constructors|constructorStandings|results|driverStandings|constructorResults|qualifying|pitStops|lapTimes,circuitId|circuitRef|name|location|country|lat|lng|alt|url|raceId|year|round|circuitId|name|date|time|url|driverId|driverRef|number|code|forename|surname|dob|nationality|url|statusId|status|year|url|constructorId|constructorRef|name|nationality|url|constructorStandingsId|raceId|constructorId|points|position|positionText|wins|resultId|raceId|driverId|constructorId|number|grid|position|positionText|positionOrder|points|laps|time|milliseconds|fastestLap|rank|fastestLapTime|fastestLapSpeed|statusId|driverStandingsId|raceId|driverId|points|position|positionText|wins|constructorResultsId|raceId|constructorId|points|status|qualifyId|raceId|driverId|constructorId|number|position|q1|q2|q3|raceId|driverId|stop|lap|time|duration|milliseconds|raceId|driverId|lap|position|time|milliseconds
what is the name and age of the youngest winning pilot?,"SELECT t1.name , t1.age FROM pilot AS t1 JOIN MATCH AS t2 ON t1.pilot_id = t2.winning_pilot ORDER BY t1.age LIMIT 1",joins,hard,spider,pilot|aircraft|match|airport|airport_aircraft,Pilot_Id|Name|Age|Aircraft_ID|Aircraft|Description|Max_Gross_Weight|Total_disk_area|Max_disk_Loading|Round|Location|Country|Date|Fastest_Qualifying|Winning_Pilot|Winning_Aircraft|Airport_ID|Airport_Name|Total_Passengers|%_Change_2007|International_Passengers|Domestic_Passengers|Transit_Passengers|Aircraft_Movements|Freight_Metric_Tonnes|ID|Airport_ID|Aircraft_ID
"What are the names of customers with accounts, and what are the total savings balances for each?","SELECT SUM(T2.balance) , T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid = T2.custid GROUP BY T1.name",joins,hard,spider,ACCOUNTS|SAVINGS|CHECKING,custid|name|custid|balance|custid|balance
List the medicine name and trade name which can both interact as 'inhibitor' and 'activitor' with enzymes.,"SELECT T1.name , T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id = T1.id WHERE interaction_type = 'inhibitor' INTERSECT SELECT T1.name , T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id = T1.id WHERE interaction_type = 'activitor'",joins,hard,spider,medicine|enzyme|medicine_enzyme_interaction,id|name|Trade_Name|FDA_approved|id|name|Location|Product|Chromosome|OMIM|Porphyria|enzyme_id|medicine_id|interaction_type
What is the most common hometown of gymnasts?,SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID = T2.People_ID GROUP BY T2.Hometown ORDER BY COUNT(*) DESC LIMIT 1,joins,hard,spider,gymnast|people,Gymnast_ID|Floor_Exercise_Points|Pommel_Horse_Points|Rings_Points|Vault_Points|Parallel_Bars_Points|Horizontal_Bar_Points|Total_Points|People_ID|Name|Age|Height|Hometown
What are the code and description of the most frequent behavior incident type?,"SELECT T1.incident_type_code , T2.incident_type_description FROM Behavior_Incident AS T1 JOIN Ref_Incident_Type AS T2 ON T1.incident_type_code = T2.incident_type_code GROUP BY T1.incident_type_code ORDER BY COUNT(*) DESC LIMIT 1",joins,hard,spider,Ref_Address_Types|Ref_Detention_Type|Ref_Incident_Type|Addresses|Students|Teachers|Assessment_Notes|Behavior_Incident|Detention|Student_Addresses|Students_in_Detention,address_type_code|address_type_description|detention_type_code|detention_type_description|incident_type_code|incident_type_description|address_id|line_1|line_2|line_3|city|zip_postcode|state_province_county|country|other_address_details|student_id|address_id|first_name|middle_name|last_name|cell_mobile_number|email_address|date_first_rental|date_left_university|other_student_details|teacher_id|address_id|first_name|middle_name|last_name|gender|cell_mobile_number|email_address|other_details|notes_id|student_id|teacher_id|date_of_notes|text_of_notes|other_details|incident_id|incident_type_code|student_id|date_incident_start|date_incident_end|incident_summary|recommendations|other_details|detention_id|detention_type_code|teacher_id|datetime_detention_start|datetime_detention_end|detention_summary|other_details|student_id|address_id|date_address_from|date_address_to|monthly_rental|other_details|student_id|detention_id|incident_id
Who has friends that are older than the average age? Print their friends and their ages as well,"SELECT DISTINCT T2.name , T2.friend , T1.age FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.friend WHERE T1.age > (SELECT AVG(age) FROM person)",joins,hard,spider,Person|PersonFriend,name|age|city|gender|job|name|friend|year
What is the color of the grape whose wine products has the highest average price?,SELECT T1.Color FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.Grape = T2.Grape GROUP BY T2.Grape ORDER BY AVG(Price) DESC LIMIT 1,joins,hard,spider,grapes|appellations|wine,ID|Grape|Color|No|Appelation|County|State|Area|isAVA|No|Grape|Winery|Appelation|State|Name|Year|Price|Score|Cases|Drink
Return the average number of weeks on top for volumes by artists that are at most 25 years old.,SELECT AVG(T2.Weeks_on_Top) FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.age <= 25,joins,hard,spider,artist|volume|music_festival,Artist_ID|Artist|Age|Famous_Title|Famous_Release_date|Volume_ID|Volume_Issue|Issue_Date|Weeks_on_Top|Song|Artist_ID|ID|Music_Festival|Date_of_ceremony|Category|Volume|Result
What are the names of all aicrafts that have never won any match?,SELECT Aircraft FROM aircraft WHERE Aircraft_ID NOT IN (SELECT Winning_Aircraft FROM MATCH),subqueries,hard,spider,pilot|aircraft|match|airport|airport_aircraft,Pilot_Id|Name|Age|Aircraft_ID|Aircraft|Description|Max_Gross_Weight|Total_disk_area|Max_disk_Loading|Round|Location|Country|Date|Fastest_Qualifying|Winning_Pilot|Winning_Aircraft|Airport_ID|Airport_Name|Total_Passengers|%_Change_2007|International_Passengers|Domestic_Passengers|Transit_Passengers|Aircraft_Movements|Freight_Metric_Tonnes|ID|Airport_ID|Aircraft_ID
List the names of teachers who have not been arranged to teach courses.,SELECT Name FROM teacher WHERE Teacher_id NOT IN (SELECT Teacher_id FROM course_arrange),subqueries,hard,spider,course|teacher|course_arrange,Course_ID|Staring_Date|Course|Teacher_ID|Name|Age|Hometown|Course_ID|Teacher_ID|Grade
Which buildings do not have any company office? Give me the building names.,SELECT name FROM buildings WHERE id NOT IN (SELECT building_id FROM Office_locations),subqueries,hard,spider,buildings|Companies|Office_locations,id|name|City|Height|Stories|Status|id|name|Headquarters|Industry|Sales_billion|Profits_billion|Assets_billion|Market_Value_billion|building_id|company_id|move_in_year
How many routes go from the United States to Canada?,SELECT COUNT(*) FROM routes WHERE dst_apid IN (SELECT apid FROM airports WHERE country = 'Canada') AND src_apid IN (SELECT apid FROM airports WHERE country = 'United States'),subqueries,hard,spider,routes|airports|airlines,rid|dst_apid|dst_ap|src_apid|src_ap|alid|airline|codeshare|apid|name|city|country|x|y|elevation|iata|icao|alid|name|iata|icao|callsign|country|active
Find the number of users who did not write any review.,SELECT COUNT(*) FROM useracct WHERE u_id NOT IN (SELECT u_id FROM review),subqueries,hard,spider,item|review|useracct|trust,i_id|title|a_id|u_id|i_id|rating|rank|u_id|name|source_u_id|target_u_id|trust
List the name of musicals that do not have actors.,SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor),subqueries,hard,spider,musical|actor,Musical_ID|Name|Year|Award|Category|Nominee|Result|Actor_ID|Name|Musical_ID|Character|Duration|age
List the names of people that have not been on the affirmative side of debates.,SELECT Name FROM people WHERE People_id NOT IN (SELECT Affirmative FROM debate_people),subqueries,hard,spider,people|debate|debate_people,People_ID|District|Name|Party|Age|Debate_ID|Date|Venue|Num_of_Audience|Debate_ID|Affirmative|Negative|If_Affirmative_Win
List the names of the schools without any endowment.,SELECT school_name FROM school WHERE school_id NOT IN (SELECT school_id FROM endowment),subqueries,hard,spider,School|budget|endowment,School_id|School_name|Location|Mascot|Enrollment|IHSAA_Class|IHSAA_Football_Class|County|School_id|Year|Budgeted|total_budget_percent_budgeted|Invested|total_budget_percent_invested|Budget_invested_percent|endowment_id|School_id|donator_name|amount
How many students did not have any course enrollment?,SELECT COUNT(*) FROM Students WHERE student_id NOT IN (SELECT student_id FROM Student_Course_Enrolment),subqueries,hard,spider,Course_Authors_and_Tutors|Students|Subjects|Courses|Student_Course_Enrolment|Student_Tests_Taken,author_id|author_tutor_ATB|login_name|password|personal_name|middle_name|family_name|gender_mf|address_line_1|student_id|date_of_registration|date_of_latest_logon|login_name|password|personal_name|middle_name|family_name|subject_id|subject_name|course_id|author_id|subject_id|course_name|course_description|registration_id|student_id|course_id|date_of_enrolment|date_of_completion|registration_id|date_test_taken|test_result
Which manufacturer has the most number of shops? List its name and year of opening.,"SELECT open_year , name FROM manufacturer ORDER BY num_of_shops DESC LIMIT 1",sort_limit,medium,spider,manufacturer|furniture|furniture_manufacte,Manufacturer_ID|Open_Year|Name|Num_of_Factories|Num_of_Shops|Furniture_ID|Name|Num_of_Component|Market_Rate|Manufacturer_ID|Furniture_ID|Price_in_Dollar
What is the name of the oldest manager?,SELECT Name FROM manager ORDER BY Age DESC LIMIT 1,sort_limit,medium,spider,railway|train|manager|railway_manage,Railway_ID|Railway|Builder|Built|Wheels|Location|ObjectNumber|Train_ID|Train_Num|Name|From|Arrival|Railway_ID|Manager_ID|Name|Country|Working_year_starts|Age|Level|Railway_ID|Manager_ID|From_Year
"Find all information about student addresses, and sort by monthly rental in descending order.",SELECT * FROM Student_Addresses ORDER BY monthly_rental DESC,sort_limit,medium,spider,Ref_Address_Types|Ref_Detention_Type|Ref_Incident_Type|Addresses|Students|Teachers|Assessment_Notes|Behavior_Incident|Detention|Student_Addresses|Students_in_Detention,address_type_code|address_type_description|detention_type_code|detention_type_description|incident_type_code|incident_type_description|address_id|line_1|line_2|line_3|city|zip_postcode|state_province_county|country|other_address_details|student_id|address_id|first_name|middle_name|last_name|cell_mobile_number|email_address|date_first_rental|date_left_university|other_student_details|teacher_id|address_id|first_name|middle_name|last_name|gender|cell_mobile_number|email_address|other_details|notes_id|student_id|teacher_id|date_of_notes|text_of_notes|other_details|incident_id|incident_type_code|student_id|date_incident_start|date_incident_end|incident_summary|recommendations|other_details|detention_id|detention_type_code|teacher_id|datetime_detention_start|datetime_detention_end|detention_summary|other_details|student_id|address_id|date_address_from|date_address_to|monthly_rental|other_details|student_id|detention_id|incident_id
What is the name of the winner with the most rank points who participated in the Australian Open tournament?,SELECT winner_name FROM matches WHERE tourney_name = 'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1,sort_limit,medium,spider,players|matches|rankings,player_id|first_name|last_name|hand|birth_date|country_code|best_of|draw_size|loser_age|loser_entry|loser_hand|loser_ht|loser_id|loser_ioc|loser_name|loser_rank|loser_rank_points|loser_seed|match_num|minutes|round|score|surface|tourney_date|tourney_id|tourney_level|tourney_name|winner_age|winner_entry|winner_hand|winner_ht|winner_id|winner_ioc|winner_name|winner_rank|winner_rank_points|winner_seed|year|ranking_date|ranking|player_id|ranking_points|tours
"What are the first names for all faculty professors, ordered by first name?",SELECT Fname FROM FACULTY WHERE Rank = 'Professor' ORDER BY Fname,sort_limit,medium,spider,Student|Faculty|Department|Member_of|Course|Minor_in|Enrolled_in|Gradeconversion,StuID|LName|Fname|Age|Sex|Major|Advisor|city_code|FacID|Lname|Fname|Rank|Sex|Phone|Room|Building|DNO|Division|DName|Room|Building|DPhone|FacID|DNO|Appt_Type|CID|CName|Credits|Instructor|Days|Hours|DNO|StuID|DNO|StuID|CID|Grade|lettergrade|gradepoint
Find the name of the most expensive product.,SELECT product_name FROM products ORDER BY product_price DESC LIMIT 1,sort_limit,medium,spider,Products|Addresses|Customers|Regular_Orders|Regular_Order_Products|Actual_Orders|Actual_Order_Products|Customer_Addresses|Delivery_Routes|Delivery_Route_Locations|Trucks|Employees|Order_Deliveries,product_id|product_name|product_price|product_description|address_id|address_details|city|zip_postcode|state_province_county|country|customer_id|payment_method|customer_name|customer_phone|customer_email|date_became_customer|regular_order_id|distributer_id|regular_order_id|product_id|actual_order_id|order_status_code|regular_order_id|actual_order_date|actual_order_id|product_id|customer_id|address_id|date_from|address_type|date_to|route_id|route_name|other_route_details|location_code|route_id|location_address_id|location_name|truck_id|truck_licence_number|truck_details|employee_id|employee_address_id|employee_name|employee_phone|location_code|actual_order_id|delivery_status_code|driver_employee_id|truck_id|delivery_date
List the locations of schools in ascending order of enrollment.,SELECT LOCATION FROM school ORDER BY Enrollment ASC,sort_limit,medium,spider,school|school_details|school_performance|player,School_ID|School|Location|Enrollment|Founded|Denomination|Boys_or_Girls|Day_or_Boarding|Year_Entered_Competition|School_Colors|School_ID|Nickname|Colors|League|Class|Division|School_Id|School_Year|Class_A|Class_AA|Player_ID|Player|Team|Age|Position|School_ID
List the first and last name of all players who are left / L hand in the order of birth date.,"SELECT first_name , last_name FROM players WHERE hand = 'L' ORDER BY birth_date",sort_limit,medium,spider,players|matches|rankings,player_id|first_name|last_name|hand|birth_date|country_code|best_of|draw_size|loser_age|loser_entry|loser_hand|loser_ht|loser_id|loser_ioc|loser_name|loser_rank|loser_rank_points|loser_seed|match_num|minutes|round|score|surface|tourney_date|tourney_id|tourney_level|tourney_name|winner_age|winner_entry|winner_hand|winner_ht|winner_id|winner_ioc|winner_name|winner_rank|winner_rank_points|winner_seed|year|ranking_date|ranking|player_id|ranking_points|tours
What is the desired rate when the rate limit (p) is 50.33?,SELECT Desired rate (p) FROM TABLE WHERE Rate LIMIT (p) = 50.33,sort_limit,medium,wikisql,table,Authority|Rate or precept|Budget limit (£m)|Budget plans (£m)|Rate limit (p)|Rate change (%)|Desired rate (p)|Desired rate change (%)
What is the rate limit when the desired rate change (%) is +40.4?,SELECT Rate LIMIT (p) FROM TABLE WHERE Desired rate change (%) = +40.4,sort_limit,medium,wikisql,table,Authority|Rate or precept|Budget limit (£m)|Budget plans (£m)|Rate limit (p)|Rate change (%)|Desired rate (p)|Desired rate change (%)
What is the rate change % when the rate limit is 82.86?,SELECT Rate change (%) FROM TABLE WHERE Rate LIMIT (p) = 82.86,sort_limit,medium,wikisql,table,Authority|Rate or precept|Budget limit (£m)|Budget plans (£m)|Rate limit (p)|Rate change (%)|Desired rate (p)|Desired rate change (%)
What are the ids of the faculty members who do not advise any student.,SELECT FacID FROM Faculty EXCEPT SELECT advisor FROM Student,simple_select,hard,spider,Activity|Participates_in|Faculty_Participates_in|Student|Faculty,actid|activity_name|stuid|actid|FacID|actid|StuID|LName|Fname|Age|Sex|Major|Advisor|city_code|FacID|Lname|Fname|Rank|Sex|Phone|Room|Building
Find the first names that are used for professionals or owners but are not used as dog names.,SELECT first_name FROM Professionals UNION SELECT first_name FROM Owners EXCEPT SELECT name FROM Dogs,simple_select,hard,spider,Breeds|Charges|Sizes|Treatment_Types|Owners|Dogs|Professionals|Treatments,breed_code|breed_name|charge_id|charge_type|charge_amount|size_code|size_description|treatment_type_code|treatment_type_description|owner_id|first_name|last_name|street|city|state|zip_code|email_address|home_phone|cell_number|dog_id|owner_id|abandoned_yn|breed_code|size_code|name|age|date_of_birth|gender|weight|date_arrived|date_adopted|date_departed|professional_id|role_code|first_name|street|city|state|zip_code|last_name|email_address|home_phone|cell_number|treatment_id|dog_id|professional_id|treatment_type_code|date_of_treatment|cost_of_treatment
What are the distinct visit dates?,SELECT DISTINCT Visit_Date FROM VISITS,simple_select,easy,spider,Ref_Hotel_Star_Ratings|Locations|Ref_Attraction_Types|Visitors|Features|Hotels|Tourist_Attractions|Street_Markets|Shops|Museums|Royal_Family|Theme_Parks|Visits|Photos|Staff|Tourist_Attraction_Features,star_rating_code|star_rating_description|Location_ID|Location_Name|Address|Other_Details|Attraction_Type_Code|Attraction_Type_Description|Tourist_ID|Tourist_Details|Feature_ID|Feature_Details|hotel_id|star_rating_code|pets_allowed_yn|price_range|other_hotel_details|Tourist_Attraction_ID|Attraction_Type_Code|Location_ID|How_to_Get_There|Name|Description|Opening_Hours|Other_Details|Market_ID|Market_Details|Shop_ID|Shop_Details|Museum_ID|Museum_Details|Royal_Family_ID|Royal_Family_Details|Theme_Park_ID|Theme_Park_Details|Visit_ID|Tourist_Attraction_ID|Tourist_ID|Visit_Date|Visit_Details|Photo_ID|Tourist_Attraction_ID|Name|Description|Filename|Other_Details|Staff_ID|Tourist_Attraction_ID|Name|Other_Details|Tourist_Attraction_ID|Feature_ID
Find the names of all the product characteristics.,SELECT DISTINCT characteristic_name FROM CHARACTERISTICS,simple_select,easy,spider,Ref_Characteristic_Types|Ref_Colors|Ref_Product_Categories|Characteristics|Products|Product_Characteristics,characteristic_type_code|characteristic_type_description|color_code|color_description|product_category_code|product_category_description|unit_of_measure|characteristic_id|characteristic_type_code|characteristic_data_type|characteristic_name|other_characteristic_details|product_id|color_code|product_category_code|product_name|typical_buying_price|typical_selling_price|product_description|other_product_details|product_id|characteristic_id|product_characteristic_value
What are the distinct Famous release dates?,SELECT DISTINCT(Famous_Release_date) FROM artist,simple_select,easy,spider,artist|volume|music_festival,Artist_ID|Artist|Age|Famous_Title|Famous_Release_date|Volume_ID|Volume_Issue|Issue_Date|Weeks_on_Top|Song|Artist_ID|ID|Music_Festival|Date_of_ceremony|Category|Volume|Result
What are the title and issues of the books?,"SELECT Title , Issues FROM book",simple_select,easy,spider,publication|book,Publication_ID|Book_ID|Publisher|Publication_Date|Price|Book_ID|Title|Issues|Writer
what is the minimum rockhampton,SELECT MIN Rockhampton FROM TABLE,simple_select,easy,wikisql,table,Year|Total Region|Rockhampton|Livingstone|Fitzroy|Mt Morgan
What is the highest number listed?,SELECT MAX Number FROM TABLE,simple_select,easy,wikisql,table,Number|Builder|Built|Rebuilt|Name as rebuilt|Scrapped/Sold
What was the largest attended game?,SELECT MAX Attendance FROM TABLE,simple_select,easy,wikisql,table,Game|Date|Opponent|Score|Location|Attendance|Record|Points
What is the lowest season?,SELECT MIN Season FROM TABLE,simple_select,easy,wikisql,table,Season|Winners|Total wins|Runners-up|Third-place|Number of clubs
What are the names(namesakes) through out the entire chart?,SELECT Name (Namesake) FROM TABLE,simple_select,easy,wikisql,table,"Name (Namesake)|Builder Dimensions Displacement, Hull Speed Complement|Machinery Boiler, Bunkers Engines Armament|Ordered Laid down Launched Trials|Commissioned Decommissioned Afterward"
